PC1,PC2,EmotionLabel
-60418.062,7181.8677,FEAR
-22246.133,-18047.312,HAPPINESS
74205.94,-2341.5977,SADNESS
5648.177,4584.7026,ANGER
65125.875,-6247.0625,HAPPINESS
47052.805,8025.2104,HAPPINESS
-50245.88,-2239.261,ANGER
-62283.48,5925.9443,HAPPINESS
77075.8,6547.181,LOVE
78970.234,176.82892,SADNESS
-8655.61,16086.891,SADNESS
-36283.46,-155.6005,FEAR
-27602.986,-1508.884,FEAR
-65769.28,8836.771,FEAR
-305.79648,5362.547,SADNESS
49134.867,-3469.2358,SADNESS
70226.586,-6550.8364,SADNESS
-55802.4,-25782.389,SADNESS
-63664.99,2722.253,FEAR
-14162.182,891.83984,SADNESS
-48173.883,10329.144,SADNESS
-72343.13,-7923.917,ANGER
61765.836,-6515.446,LOVE
20454.154,4729.003,HAPPINESS
54378.617,2478.6675,HAPPINESS
54677.035,-4233.612,HAPPINESS
47317.77,23386.568,FEAR
-84555.78,-6730.0,FEAR
56821.215,-7734.692,LOVE
57200.88,-1834.9888,LOVE
22845.902,11432.721,HAPPINESS
53617.535,-984.72046,SADNESS
34114.543,5540.912,HAPPINESS
63372.848,-4178.3765,SADNESS
28627.361,6967.1357,HAPPINESS
-53125.953,12240.852,FEAR
45929.145,-12034.35,HAPPINESS
51114.9,8081.9185,SADNESS
4442.836,-164.01306,HAPPINESS
-54139.754,6388.433,HAPPINESS
53940.297,-18269.154,HAPPINESS
43310.316,4664.675,LOVE
-69281.08,23706.662,ANGER
42770.65,8794.524,LOVE
52196.914,-2533.3638,SADNESS
-36029.645,10039.516,FEAR
-53295.566,-14364.616,ANGER
53417.867,-4026.6726,SADNESS
-10289.001,-7396.5527,HAPPINESS
34801.52,-3023.7559,SADNESS
-51858.363,987.3733,ANGER
-82005.52,-6570.667,ANGER
43386.81,8685.302,LOVE
42501.227,-1612.9541,LOVE
42956.176,16726.107,LOVE
54247.715,9432.348,FEAR
50639.2,-3813.6572,LOVE
-79472.28,-11849.826,FEAR
50539.52,-16275.949,LOVE
-7090.266,-9898.988,HAPPINESS
-71930.836,9068.807,LOVE
-58889.68,-9462.628,ANGER
3133.9934,4974.14,SADNESS
-33360.457,41.271362,FEAR
-37956.617,-26635.34,LOVE
-72321.54,-10918.569,FEAR
65531.02,260.41608,HAPPINESS
-76700.57,21680.932,SADNESS
56067.723,-2525.3188,HAPPINESS
41969.555,1703.612,SADNESS
43304.438,1711.6785,HAPPINESS
-30205.209,-19358.19,SADNESS
-48646.97,13187.523,ANGER
-45512.074,10700.854,HAPPINESS
-44755.105,16202.081,FEAR
-46953.332,16595.26,FEAR
39725.83,29343.889,LOVE
-70109.79,-10610.6,SADNESS
37374.81,-1287.2834,HAPPINESS
-53528.688,-2031.0608,HAPPINESS
-69569.99,-10352.13,HAPPINESS
60866.594,-7170.4175,SADNESS
-28563.176,-1657.4583,FEAR
67674.77,628.69507,HAPPINESS
67680.86,-4109.178,SADNESS
