PC1,PC2,EmotionLabel
140296.36,52797.215,HAPPINESS
-76377.09,138282.56,HAPPINESS
-6755.0347,-147490.42,SADNESS
48184.523,74425.01,LOVE
42811.633,-15182.626,HAPPINESS
-147610.9,35559.15,HAPPINESS
-57763.03,-67231.54,FEAR
71444.766,84969.57,SADNESS
-121899.82,27107.701,ANGER
-105341.086,-42563.668,LOVE
-61640.324,-68289.64,FEAR
53523.527,19045.383,SADNESS
-23875.842,29502.87,SADNESS
-9622.683,67302.78,SADNESS
124193.75,-179337.83,LOVE
-91584.57,2912.5955,LOVE
57643.254,-24256.912,SADNESS
-103253.53,13103.336,FEAR
249683.81,63704.117,SADNESS
17942.537,-64359.406,HAPPINESS
-51354.29,-45084.945,FEAR
-60445.758,-31632.422,FEAR
-165848.05,101293.85,SADNESS
-119074.23,-78775.58,FEAR
140216.78,-183856.44,HAPPINESS
-103281.24,76631.49,FEAR
54059.516,1759.348,SADNESS
-37751.945,-32636.715,HAPPINESS
141873.9,-143444.36,FEAR
-86945.55,-7251.8667,HAPPINESS
-56423.086,-111363.35,HAPPINESS
-79136.12,8368.611,ANGER
125759.75,-8318.688,SADNESS
-133720.73,105275.07,SADNESS
95759.29,656.6546,HAPPINESS
77151.836,-198409.34,SADNESS
282625.38,239209.86,SADNESS
157819.05,64764.773,SADNESS
-81855.42,-52702.742,SADNESS
-71517.32,29576.646,HAPPINESS
36227.656,257301.73,HAPPINESS
45401.797,-9070.1455,HAPPINESS
-30496.078,-204071.1,SADNESS
-338593.06,143106.48,HAPPINESS
-201841.38,3442.7642,SADNESS
-330632.72,145890.22,SADNESS
126442.95,168169.98,HAPPINESS
145079.97,-55228.895,HAPPINESS
-4652.7046,-200947.25,HAPPINESS
176883.94,168569.14,SADNESS
112492.414,229709.92,SADNESS
-23.164726,-83532.74,SADNESS
93671.586,4418.906,FEAR
-134219.42,68939.59,SADNESS
-63927.0,-180061.0,ANGER
175391.16,49036.22,LOVE
104327.09,-129788.97,LOVE
-14732.507,-202960.58,HAPPINESS
131955.27,69822.48,SADNESS
-19543.488,-126474.266,FEAR
-251003.47,73488.41,FEAR
54879.277,95.089325,FEAR
-13728.502,-87513.85,SADNESS
170330.28,-50917.996,FEAR
104497.38,87715.34,SADNESS
70906.086,7825.145,ANGER
73906.336,-6492.145,SADNESS
113601.65,33437.87,ANGER
-6725.6523,147891.14,LOVE
-214167.27,-29271.102,ANGER
39017.28,127697.64,FEAR
-25112.824,-88214.29,LOVE
169266.53,-26104.562,FEAR
-46164.477,-68086.695,SADNESS
-36689.062,-42655.254,ANGER
41487.133,120019.164,HAPPINESS
21398.79,-38699.812,LOVE
91066.414,41087.273,FEAR
89369.06,-9178.028,SADNESS
-67280.5,103472.18,SADNESS
-118916.26,72214.76,SADNESS
-92079.07,37901.9,HAPPINESS
-43211.887,64715.316,FEAR
-40118.746,-117983.7,SADNESS
-117051.98,-34457.457,SADNESS
27431.025,-54054.06,LOVE
110266.445,-73082.61,HAPPINESS
-92019.16,-98638.82,SADNESS
-87676.305,28680.717,FEAR
67664.23,-48891.723,SADNESS
112531.695,75574.6,SADNESS
-113192.734,96073.66,SADNESS
294797.25,30406.637,SADNESS
190972.95,48616.473,SADNESS
-90865.53,62816.87,SADNESS
-122410.74,-30608.254,HAPPINESS
-133657.23,28690.729,HAPPINESS
-120153.305,24503.225,LOVE
-76963.55,-9146.373,HAPPINESS
146259.4,31128.463,FEAR
62062.883,-23828.13,SADNESS
13323.994,-33340.895,SADNESS
194144.06,-65684.45,FEAR
-81219.48,-47049.156,FEAR
93609.58,29960.906,HAPPINESS
20436.17,65982.99,LOVE
34721.42,140534.77,SADNESS
-119957.234,-47207.043,HAPPINESS
49041.03,-7404.5835,SADNESS
-78090.69,5885.3247,SADNESS
-85355.125,-47914.28,FEAR
193155.27,-134583.44,FEAR
145813.22,98322.695,FEAR
-116610.01,-42213.027,SADNESS
-124220.75,64322.902,FEAR
86300.33,51810.36,LOVE
112483.34,121939.68,LOVE
-69026.12,-22182.477,FEAR
-169976.11,41059.695,FEAR
-185269.39,27643.05,ANGER
24450.654,33485.97,ANGER
101559.35,-31043.041,ANGER
-159469.73,-40960.062,HAPPINESS
-17293.154,-57475.215,FEAR
30262.002,17275.56,SADNESS
-345888.88,-23461.08,SADNESS
97167.99,23456.074,HAPPINESS
-108220.984,-70431.49,SADNESS
117519.52,-62195.535,FEAR
138673.05,14728.413,FEAR
123842.42,66156.11,FEAR
35317.668,186669.86,SADNESS
74299.17,-5233.067,FEAR
-154228.17,-70774.33,HAPPINESS
-44543.3,204574.77,FEAR
73813.59,-60825.047,HAPPINESS
-46449.91,2263.0332,SADNESS
136452.58,-35026.97,SADNESS
-266246.56,75922.336,HAPPINESS
91562.91,-55432.57,SADNESS
137821.45,12116.871,HAPPINESS
139252.94,23939.957,FEAR
133203.78,-64080.355,SADNESS
6493.2573,-82775.35,SADNESS
-147159.67,38468.434,ANGER
109892.01,48969.855,SADNESS
86615.57,58382.08,HAPPINESS
107334.48,-50966.98,SADNESS
-117800.375,30127.926,LOVE
-106661.07,13539.138,SADNESS
65399.066,-60798.45,SADNESS
-105277.57,-89491.734,SADNESS
121844.45,-56030.09,SADNESS
-154317.2,27501.318,HAPPINESS
117200.27,-23434.441,HAPPINESS
-165562.61,-131383.16,FEAR
12512.367,5604.4463,ANGER
-56525.473,51969.582,HAPPINESS
81494.414,-30069.723,HAPPINESS
-103314.516,-16397.727,SADNESS
136476.56,-51744.35,HAPPINESS
-132344.3,43010.938,ANGER
101063.664,80884.42,HAPPINESS
76815.6,-1270.9565,HAPPINESS
75126.195,166249.33,HAPPINESS
121577.04,83442.82,HAPPINESS
